"term","definition"
"Shadow People","A common term for dark, shadow-like figures perceived as human-shaped or presence-like, commonly lacking clear features or seen briefly, peripherally, or under low-light conditions."
"Sleep Paralysis","A temporary state near sleep or waking in which a person is aware but unable to move, sometimes accompanied by vivid dreamlike perceptions that may be interpreted as paranormal activity."
"SLS Camera","A camera system that uses projected infrared light points and software to interpret human-shaped forms, often displaying them as stick figures."
"Spirit","A presence believed or interpreted as nonphysical and as continuing after physical life."
"Spirit Box","A device that rapidly scans radio frequencies or audio channels to generate sounds that may be interpreted as communication or other anomalous content."
"Suggestibility","The tendency for expectations or context to influence perception or interpretation."
"Supernatural","A broad term for phenomena interpreted as existing beyond the known laws of nature or not fully explained by them."
"Temperature Changes","Reported or measured shifts in ambient temperature, surface temperature, or perceived heat or cold, commonly referred to as cold spots or hot spots."
"Thermal Camera","A camera that detects infrared radiation and displays or records temperature differences as an image."
"Time Slip","An experience in which a person perceives their surroundings as briefly belonging to a different time period or era."
"TriField Meter","A meter commonly used to detect or measure AC magnetic fields, AC electric fields, and RF or microwave signals."
"Trigger Object","An object used in an attempt to elicit or encourage paranormal activity."
"Visual Phenomena","A category of phenomena involving any visual event that is witnessed in person or documented in images or video."
"Whispers","Low-volume voice-like or speech-like sounds heard or recorded without an apparent source."
"Word Generator","A device or application that selects words, sounds, or phrases from a precompiled list and produces or displays them for review as potentially meaningful output."
